Element	English	Esperanto
Scandium	In 1879, Lars Fredrik Nilson and his team detected scandium in the minerals euxenite and gadolinite.<br><br>Nilson prepared 2 grams of scandium oxide of high purity.<br><br>Per Teodor Cleve showed that scandium had properties similar to those predicted by Mendeleev for eka-boron.<br><br>Metallic scandium was first prepared in 1937 by Fischer and his colleagues.	En 1879, Lars Fredrik Nilson kaj lia teamo detektis skandion en la mineraloj eŭksenito kaj gadolinito.<br><br>Nilson preparis 2 gramojn da skandia oksido de alta pureco.<br><br>Per Teodor Cleve montris ke skandio havis ecojn similajn al tiuj antaŭdiritaj de Mendeleev por eka-boro.<br><br>Metala skandio estis unue preparita en 1937 de Fischer kaj liaj kolegoj.
Titanium	William Gregor found the oxide of titanium in ilmenite in 1791.<br><br>Martin Heinrich Klaproth independently discovered the element in rutile in 1795 and named it.<br><br>The pure metallic form was only obtained in 1910 by Matthew A. Hunter.<br><br>In 1936, the Kroll Process made the commercial production of titanium possible.	William Gregor trovis la oksidon de titanio en ilmenito en 1791.<br><br>Martin Heinrich Klaproth sendepende malkovris la elementon en rutilo en 1795 kaj nomis ĝin.<br><br>La pura metala formo estis nur obtena en 1910 de Matthew A. Hunter.<br><br>En 1936, la Kroll-Procezo ebligis la komercan produktadon de titanio.
Vanadium	Vanadium was originally discovered by Andrés Manuel del Río in 1801.<br><br>In 1805, the French chemist Hippolyte Victor Collet-Descotils incorrectly declared that del Río's new element was only an impure sample of chromium.<br><br>In 1831, the Swedish chemist Nils Gabriel Sefström rediscovered the element in a new oxide he found while working with iron ores.<br><br>Later that same year, Friedrich Wöhler confirmed del Río's earlier work.	Vanadio estis origine malkovrita de Andrés Manuel del Río en 1801.<br><br>En 1805, la franca kemiisto Hippolyte Victor Collet-Descotils malĝuste deklaris ke la nova elemento de del Río estis nur malpura specimeno de kromo.<br><br>En 1831, la sveda kemiisto Nils Gabriel Sefström remalkovris la elementon en nova oksido kiun li trovis laborante kun feraj ercoj.<br><br>Poste en tiu sama jaro, Friedrich Wöhler konfirmis la pli fruan laboron de del Río.
Chromium	In 1797, Louis Nicolas Vauquelin received samples of crocoite ore.<br><br>In 1798, Vauquelin discovered that he could isolate metallic chromium by heating the oxide in a charcoal oven, making him the discoverer of the element.<br><br>Vauquelin was also able to detect traces of chromium in precious gemstones, such as ruby or emerald.	En 1797, Louis Nicolas Vauquelin ricevis specimenojn de krokoita erco.<br><br>En 1798, Vauquelin malkovris ke li povis izoli metalan kromadon per varmigado de la oksido en karba forno, farante lin la malkovristor de la elemento.<br><br>Vauquelin ankaŭ povis detekti spurojn de kromo en valoraj gemŝtonoj, kiel rubeno aŭ smaragdo.
Manganese	By the mid-18th century, Swedish chemist Carl Wilhelm Scheele had used pyrolusite to produce chlorine.<br><br>Scheele and others were aware that pyrolusite contained a new element, but they were not able to isolate it.<br><br>Johan Gottlieb Gahn was the first to isolate an impure sample of manganese metal in 1774, by reducing the dioxide with carbon.	En la mezo de la 18a jarcento, sveda kemiisto Carl Wilhelm Scheele uzis piroluzaton por produkti kloron.<br><br>Scheele kaj aliaj sciis ke piroluzato enhavis novan elementon, sed ili ne povis izoli ĝin.<br><br>Johan Gottlieb Gahn estis la unua, kiu izolis malpuran specimenon de mangana metalo en 1774, per redukto de la dioksido kun karbono.
Iron	The first iron used by humans is likely to have come from meteorites.<br><br>The oldest known iron objects used by humans are some beads of meteoric iron, made in Egypt in about 4000 BC.<br><br>The discovery of smelting around 3000 BC led to the start of the iron age around 1200 BC and the prominent use of iron for tools and weapons.	La unua fero uzita de homoj verŝajne venis el meteoritoj.<br><br>La plej malnovaj konataj feraj objektoj uzitaj de homoj estas kelkaj perloj de meteoritika fero, faritaj en Egipto ĉirkaŭ 4000 aK.<br><br>La malkovro de fandado ĉirkaŭ 3000 aK kondukis al la komenco de la fera epoko ĉirkaŭ 1200 aK kaj la elstara uzo de fero por iloj kaj armiloj.
Cobalt	Cobalt compounds have been used for centuries to impart a rich blue color to glass, glazes and ceramics.<br><br>The element was first isolated by Swedish chemist George Brandt in 1735.<br><br>He showed it was the presence of the element cobalt that caused the blue color in glass, not bismuth as previously thought.	Kobaltaj kunmetaĵoj estis uzitaj dum jarcentoj por doni riĉan bluan koloron al vitro, glazuroj kaj ceramikaĵoj.<br><br>La elemento estis unue izolita de sveda kemiisto George Brandt en 1735.<br><br>Li montris ke estis la ĉeesto de la elemento kobalto kiu kaŭzis la bluan koloron en vitro, ne bismuto kiel antaŭe opiniite.
Nickel	Artifacts made from metallic meteorites have been found dating from as early as 5000 BC.<br><br>In 1751, Baron Axel Fredrik Cronstedt was trying to extract copper from kupfernickel and instead produced the white metal.<br><br>In the early twentieth century, Ludwig Mond patented a process using nickel carbonyl to purify nickel.	Artefaktoj faritaj el metalaj meteoritoj estis trovitaj datitaj de jam 5000 aK.<br><br>En 1751, Barono Axel Fredrik Cronstedt provis ekstrakti kupron el kupfernikelo kaj anstataŭe produktis la blankan metalon.<br><br>En la frua dudeka jarcento, Ludwig Mond patentis procezon uzantan niklatan karbonilaton por purigi niklaton.
Copper	Copper occurs naturally as native copper and was known to some of the oldest civilizations on record.<br><br>Earliest estimates of the discovery of copper suggest around 9000 BC in the Middle East.<br><br>It was one of the most important materials to humans throughout the copper and bronze ages.	Kupro okazas nature kiel indiĝena kupro kaj estis konata al kelkaj el la plej malnovaj civilizacioj en la historio.<br><br>Plej fruaj taksoj de la malkovro de kupro sugestas ĉirkaŭ 9000 aK en la Proksima Oriento.<br><br>Ĝi estis unu el la plej gravaj materialoj por homoj dum la kupraj kaj bronzaj epokoj.
Zinc	Metallic zinc was produced in the 13th century A.D. India by reducing calamine with organic substances such as wool.<br><br>The metal was rediscovered in Europe by Andreas Sigismund Marggraf in 1746.<br><br>He heated a mixture of calamine ore and carbon in a closed vessel without copper to produce the metal.	Metala zinko estis produktita en la 13a jarcento pK Hindio per redukto de kalamino kun organikaj substancoj kiel lano.<br><br>La metalo estis remalkovrita en Eŭropo de Andreas Sigismund Marggraf en 1746.<br><br>Li varmigis miksaĵon de kalamina erco kaj karbono en fermita vazo sen kupro por produkti la metalon.
Gallium	In 1871, existence of gallium was first predicted by Russian chemist Dmitri Mendeleev and called the element eka-aluminum.<br><br>Gallium was discovered spectroscopically by French chemist Paul Emile Lecoq de Boisbaudran in 1875 by its characteristic spectrum in an examination of a sphalerite sample.<br><br>Later that year, Lecoq obtained the free metal by electrolysis of its hydroxide in potassium hydroxide solution.	En 1871, la ekzistado de galio estis unue antaŭdirita de rusa kemiisto Dmitri Mendeleev kaj nomita la elementon eka-aluminio.<br><br>Galio estis malkovrita spektroskope de franca kemiisto Paul Emile Lecoq de Boisbaudran en 1875 per ĝia karakteriza spektro en ekzamenado de sfaleritza specimeno.<br><br>Poste en tiu jaro, Lecoq obtenis la liberan metalon per elektrolizado de ĝia hidroksido en kalia hidroksida solvaĵo.
Germanium	In 1869, Dmitri Mendeleev predicted its existence and some of its properties based on its position on his periodic table and called the element eka-silicon.<br><br>In 1886, Clemens Winkler found the new element along with silver and sulfur, in a rare mineral called argyrodite.<br><br>The first silicon-germanium alloys were obtained in 1955.	En 1869, Dmitri Mendeleev antaŭdiris ĝian ekzistadon kaj kelkajn el ĝiaj ecoj surbaze de ĝia pozicio en lia perioda tabelo kaj nomis la elementon eka-silicio.<br><br>En 1886, Clemens Winkler trovis la novan elementon kune kun arĝento kaj sulfuro, en rara mineralo nomata argirodito.<br><br>La unuaj silicia-germaniaj alojoj estis obtenitaj en 1955.
Arsenic	Greek historian Olympiodorus of Thebes roasted arsenic sulfide and obtained white arsenic during 5th century AD.<br><br>Albertus Magnus is believed to have been the first to isolate the element from a compound in 1250, by heating soap together with arsenic trisulfide.<br><br>In 1649, Johann Schröder published two ways of preparing arsenic.	Greka historiisto Olimpiodoro de Tebo rostis arsenikan sulfidon kaj obtenis blankan arsenon dum la 5a jarcento pK.<br><br>Albertus Magnus kreditas esti la unua, kiu izolis la elementon el kunmetaĵo en 1250, per varmigado de sapo kune kun arsenika trisulfido.<br><br>En 1649, Johann Schröder publikigis du manierojn por prepari arsenon.
Selenium	Selenium was first observed in about the year 1300 by the alchemist Arnold of Villanova.<br><br>Selenium was discovered in 1817 by Jöns Jacob Berzelius and Johan Gottlieb Gahn who noted the similarity of the new element to the previously-known tellurium.<br><br>In 1873, Willoughby Smith found that the electrical resistance of grey selenium was dependent on the ambient light.	Seleno estis unue observita ĉirkaŭ la jaro 1300 de la alĥimiisto Arnold de Villanova.<br><br>Seleno estis malkovrita en 1817 de Jöns Jacob Berzelius kaj Johan Gottlieb Gahn kiuj notis la similecon de la nova elemento al la antaŭe konata teluro.<br><br>En 1873, Willoughby Smith trovis ke la elektra rezistado de griza seleno dependis de la ĉirkaŭa lumo.
Bromine	Carl Jacob Löwig discovered bromine in 1825, while still a chemistry student at Heidelberg University, Germany.<br><br>Antoine Balard distilled the bromine from a solution of seaweed ash saturated with chlorine in 1824.<br><br>He finally published his results in 1826, providing evidence that the substance he had discovered was a new element.	Carl Jacob Löwig malkovris bromadon en 1825, dum ankoraŭ studento de kemio en la Universitato de Heidelberg, Germanio.<br><br>Antoine Balard distilis la bromadon el solvaĵo de marherba cindro saturita kun kloro en 1824.<br><br>Li fine publikigis siajn rezultojn en 1826, provizante pruvon ke la substanco kiun li malkovris estis nova elemento.
Krypton	Scottish chemist Sir William Ramsay and his assistant English chemist Morris Travers discovered krypton in 1898 in London.<br><br>They found krypton in the residue left from evaporating nearly all components of liquid air.<br><br>William Ramsay was awarded the 1904 Nobel Prize in Chemistry for discovery of a series of noble gases, including krypton.	Skota kemiisto sinjoro William Ramsay kaj lia asistento angla kemiisto Morris Travers malkovris kripton en 1898 en Londono.<br><br>Ili trovis kripton en la restaĵo lasita de vaporigado de preskaŭ ĉiuj komponentoj de likva aero.<br><br>William Ramsay estis premiita per la Nobelpremio de Kemio de 1904 por malkovro de serio de noblaj gasoj, inkluzive kripton.
Rubidium	German chemists Robert Bunsen and Gustav Kirchhoff discovered rubidium in 1861 by the newly developed method of flame spectroscopy.<br><br>The separation of the metal was tried by Bunsen, but he never got samples with more than 18% of Rubidium.<br><br>The separation of the metal was only accomplished by George de Hevesy, through the hydrolysis of melted rubidium hydroxide.	Germanaj kemiistoj Robert Bunsen kaj Gustav Kirchhoff malkovris rubidion en 1861 per la ĵus evoluigita metodo de flama spektroskopia.<br><br>La separado de la metalo estis provita de Bunsen, sed li neniam ricevis specimenojn kun pli ol 18% de Rubidio.<br><br>La separado de la metalo estis nur plenumita de George de Hevesy, tra la hidrolizo de fandita rubida hidroksido.
Strontium	Strontium was recognized as a new element in 1790 when Adair Crawford and his colleague William Cruickshank analyzed a mineral sample from a lead mine near Strontian, Scotland.<br><br>The element was eventually isolated by Sir Humphry Davy in 1808.<br><br>The isolation was done by the electrolysis of a mixture containing strontium chloride and mercuric oxide.	Stroncio estis rekonita kiel nova elemento en 1790 kiam Adair Crawford kaj lia kolego William Cruickshank analizis specimenon de mineralo el plumba mino proksime al Strontian, Skotlando.<br><br>La elemento fine estis izolita de sinjoro Humphry Davy en 1808.<br><br>La izolado estis farita per elektrolizado de miksaĵo enhavanta stroncian kloridon kaj merkuran oksidon.
Yttrium	In 1787, Carl Axel Arrhenius found a new mineral near Ytterby in Sweden and named it ytterbite, after the village.<br><br>Johan Gadolin discovered yttrium's oxide in Arrhenius' sample in 1789, and Anders Gustaf Ekeberg named the new oxide yttria.<br><br>Elemental yttrium was first isolated in 1828 by Friedrich Wöhler.	En 1787, Carl Axel Arrhenius trovis novan mineralon proksime al Ytterby en Svedio kaj nomis ĝin ytterbite, laŭ la vilaĝo.<br><br>Johan Gadolin malkovris la oksidon de itrio en la specimeno de Arrhenius en 1789, kaj Anders Gustaf Ekeberg nomis la novan oksidon yttria.<br><br>Elementa itrio estis unue izolita en 1828 de Friedrich Wöhler.
Zirconium	Zirconium was first recognized as an element by Martin Heinrich Klaproth in 1789, in Berlin, in a sample of zircon from Sri Lanka.<br><br>Zirconium metal was first obtained in an impure form in 1824 by Jöns Jakob Berzelius by heating a mixture of potassium and potassium zirconium fluoride in an iron tube.<br><br>Dutch scientists Anton Eduard van Arkel and Jan Hendrik de Boer discovered a method for producing high purity zirconium in 1925.	Zirkonio estis unue rekonita kiel elemento de Martin Heinrich Klaproth en 1789, en Berlino, en specimeno de zirkono el Sri-Lanko.<br><br>Zirkonia metalo estis unue obtena en malpura formo en 1824 de Jöns Jakob Berzelius per varmigado de miksaĵo de kalio kaj kalia zirkonia fluorido en fera tubo.<br><br>Nederlandaj sciencistoj Anton Eduard van Arkel kaj Jan Hendrik de Boer malkovris metodon por produkti altpuran zirkonion en 1925.
Niobium	Niobium was discovered by the English chemist Charles Hatchett in 1801 and named the new element columbium.<br><br>In 1846, German chemist Henrich Rose independently discovered the element and named it niobium.<br><br>The metal was first isolated by Swedish scientist Christian Wilhelm Blomstrand in 1864 who reduced the chloride by heating it in a hydrogen atmosphere.	Niobio estis malkovrita de la angla kemiisto Charles Hatchett en 1801 kaj nomita la nova elemento kolumbio.<br><br>En 1846, germana kemiisto Heinrich Rose sendepende malkovris la elementon kaj nomis ĝin niobio.<br><br>La metalo estis unue izolita de sveda sciencisto Christian Wilhelm Blomstrand en 1864, kiu reduktis la kloridon per varmigado en hidrogena atmosfero.
Molybdenum	Molybdenite was often confused for graphite and it was thought to contain lead.<br><br>In 1778 Swedish scientist Carl Wilhelm Scheele proved that molybdenite was not graphite nor did it contain lead.<br><br>In 1781, Scheele's friend and countryman, Peter J. Hjelm isolated the metal by using carbon and linseed oil.	Molibdenito estis ofte konfuzita kun grafito kaj estis pensita ke ĝi enhavas plumbon.<br><br>En 1778, sveda sciencisto Carl Wilhelm Scheele pruvis ke molibdenito ne estis grafito nek enhavis plumbon.<br><br>En 1781, la amiko kaj samlandano de Scheele, Peter J. Hjelm izolis la metalon per uzo de karbono kaj linseed-oleo.
Technetium	Element 43 was predicted on the basis of the periodic table, and was erroneously reported as having been discovered in 1925, at which time it was named masurium.<br><br>The element was actually discovered by Carlo Perrier and Emilio Segrè in 1937.<br><br>It was also found in a sample of molybdenum sent by Ernest Lawrence that was bombarded by deuterons in the Berkeley cyclotron.	Elemento 43 estis antaŭdirita surbaze de la perioda tabelo, kaj erare estis raportita kiel malkovrita en 1925, kiam ĝi estis nomita masurium.<br><br>La elemento estis efektive malkovrita de Carlo Perrier kaj Emilio Segrè en 1937.<br><br>Ĝi ankaŭ estis trovita en specimeno de molibdeno sendita de Ernest Lawrence kiu estis bombardata de deuteronoj en la Berkeley-ciklotrono.
