Element	English	Malay
Potassium	Potassium's symbol K comes from 'kalium' the name of the element in Germany and Scandinavia.<br><br>Potassium metal was first isolated in 1807 by Sir Humphry Davy, who derived it from caustic potash by the use of electrolysis of the molten salt with the newly discovered voltaic pile.<br><br>Potassium was the first metal that was isolated by electrolysis.	Simbol K kalium berasal daripada 'kalium' nama unsur di Jerman dan Scandinavia.<br><br>Logam kalium pertama kali diasingkan pada tahun 1807 oleh Sir Humphry Davy, yang mengekstraknya daripada kalium kaustik menggunakan elektrolisis garam cair dengan tumpukan voltaik yang baru ditemui.<br><br>Kalium adalah logam pertama yang diasingkan melalui elektrolisis.
Calcium	Calcium was known as early as the first century when the Ancient Romans prepared lime as calcium oxide.<br><br>Calcium was first isolated by Sir Humphry Davy in 1808 when he electrolyzed a mixture of lime and mercuric oxide.<br><br>Davy was trying to isolate calcium; when he heard that Jöns Jakob Berzelius and Pontin prepared calcium amalgam by electrolyzing lime in mercury, he tried it himself.	Kalsium telah diketahui sejak abad pertama apabila orang Rom kuno menyediakan kapur sebagai kalsium oksida.<br><br>Kalsium pertama kali diasingkan oleh Sir Humphry Davy pada tahun 1808 apabila beliau mengelektrolisiskan campuran kapur dan oksida merkuri.<br><br>Davy cuba mengasingkan kalsium; apabila beliau mendengar bahawa Jöns Jakob Berzelius dan Pontin menyediakan amalgam kalsium dengan mengelektrolisiskan kapur dalam raksa, beliau mencubanya sendiri.
Scandium	In 1879, Lars Fredrik Nilson and his team detected scandium in the minerals euxenite and gadolinite.<br><br>Nilson prepared 2 grams of scandium oxide of high purity.<br><br>Per Teodor Cleve showed that scandium had properties similar to those predicted by Mendeleev for eka-boron.<br><br>Metallic scandium was first prepared in 1937 by Fischer and his colleagues.	Pada tahun 1879, Lars Fredrik Nilson dan pasukannya mengesan skandium dalam mineral euxenit dan gadolinit.<br><br>Nilson menyediakan 2 gram oksida skandium dengan ketulenan tinggi.<br><br>Per Teodor Cleve menunjukkan bahawa skandium mempunyai sifat-sifat yang serupa dengan yang diramalkan oleh Mendeleev untuk eka-boron.<br><br>Skandium logam pertama kali disediakan pada tahun 1937 oleh Fischer dan rakan-rakannya.
Titanium	William Gregor found the oxide of titanium in ilmenite in 1791.<br><br>Martin Heinrich Klaproth independently discovered the element in rutile in 1795 and named it.<br><br>The pure metallic form was only obtained in 1910 by Matthew A. Hunter.<br><br>In 1936, the Kroll Process made the commercial production of titanium possible.	William Gregor menemui oksida titanium dalam ilmenit pada tahun 1791.<br><br>Martin Heinrich Klaproth secara bebas menemui unsur ini dalam rutil pada tahun 1795 dan menamainya.<br><br>Bentuk logam tulen hanya diperoleh pada tahun 1910 oleh Matthew A. Hunter.<br><br>Pada tahun 1936, Proses Kroll memungkinkan pengeluaran komersial titanium.
Vanadium	Vanadium was originally discovered by Andrés Manuel del Río in 1801.<br><br>In 1805, the French chemist Hippolyte Victor Collet-Descotils incorrectly declared that del Río's new element was only an impure sample of chromium.<br><br>In 1831, the Swedish chemist Nils Gabriel Sefström rediscovered the element in a new oxide he found while working with iron ores.<br><br>Later that same year, Friedrich Wöhler confirmed del Río's earlier work.	Vanadium pada asalnya ditemui oleh Andrés Manuel del Río pada tahun 1801.<br><br>Pada tahun 1805, ahli kimia Perancis Hippolyte Victor Collet-Descotils secara tidak betul mengisytiharkan bahawa unsur baru del Río hanyalah sampel krom yang tidak tulen.<br><br>Pada tahun 1831, ahli kimia Sweden Nils Gabriel Sefström menemui kembali unsur ini dalam oksida baru yang dijumpainya ketika bekerja dengan bijih besi.<br><br>Kemudian pada tahun yang sama, Friedrich Wöhler mengesahkan karya awal del Río.
Chromium	In 1797, Louis Nicolas Vauquelin received samples of crocoite ore.<br><br>In 1798, Vauquelin discovered that he could isolate metallic chromium by heating the oxide in a charcoal oven, making him the discoverer of the element.<br><br>Vauquelin was also able to detect traces of chromium in precious gemstones, such as ruby or emerald.	Pada tahun 1797, Louis Nicolas Vauquelin menerima sampel bijih krokoit.<br><br>Pada tahun 1798, Vauquelin menemui bahawa beliau boleh mengasingkan kromium logam dengan memanaskan oksida dalam ketuhar arang, menjadikannya penemu unsur tersebut.<br><br>Vauquelin juga dapat mengesan kesan krom dalam batu permata berharga, seperti rubi atau zamrud.
Manganese	By the mid-18th century, Swedish chemist Carl Wilhelm Scheele had used pyrolusite to produce chlorine.<br><br>Scheele and others were aware that pyrolusite contained a new element, but they were not able to isolate it.<br><br>Johan Gottlieb Gahn was the first to isolate an impure sample of manganese metal in 1774, by reducing the dioxide with carbon.	Menjelang pertengahan abad ke-18, ahli kimia Sweden Carl Wilhelm Scheele telah menggunakan pirolusit untuk menghasilkan klorin.<br><br>Scheele dan yang lain menyedari bahawa pirolusit mengandungi unsur baru, tetapi mereka tidak dapat mengasingkannya.<br><br>Johan Gottlieb Gahn adalah yang pertama mengasingkan sampel tidak tulen logam mangan pada tahun 1774, dengan mereduksikan dioksida dengan karbon.
Iron	The first iron used by humans is likely to have come from meteorites.<br><br>The oldest known iron objects used by humans are some beads of meteoric iron, made in Egypt in about 4000 BC.<br><br>The discovery of smelting around 3000 BC led to the start of the iron age around 1200 BC and the prominent use of iron for tools and weapons.	Besi pertama yang digunakan oleh manusia kemungkinan besar berasal daripada meteorit.<br><br>Objek besi tertua yang diketahui digunakan oleh manusia adalah beberapa manik besi meteor, dibuat di Mesir sekitar 4000 SM.<br><br>Penemuan peleburan sekitar 3000 SM membawa kepada permulaan zaman besi sekitar 1200 SM dan penggunaan besi yang menonjol untuk alatan dan senjata.
Cobalt	Cobalt compounds have been used for centuries to impart a rich blue color to glass, glazes and ceramics.<br><br>The element was first isolated by Swedish chemist George Brandt in 1735.<br><br>He showed it was the presence of the element cobalt that caused the blue color in glass, not bismuth as previously thought.	Sebatian kobalt telah digunakan selama berabad-abad untuk memberikan warna biru yang kaya kepada kaca, glasir dan seramik.<br><br>Unsur ini pertama kali diasingkan oleh ahli kimia Sweden George Brandt pada tahun 1735.<br><br>Beliau menunjukkan bahawa kehadiran unsur kobalt yang menyebabkan warna biru dalam kaca, bukan bismut seperti yang difikirkan sebelumnya.
Nickel	Artifacts made from metallic meteorites have been found dating from as early as 5000 BC.<br><br>In 1751, Baron Axel Fredrik Cronstedt was trying to extract copper from kupfernickel and instead produced the white metal.<br><br>In the early twentieth century, Ludwig Mond patented a process using nickel carbonyl to purify nickel.	Artifak yang diperbuat daripada meteorit logam telah ditemui bermula dari seawal 5000 SM.<br><br>Pada tahun 1751, Baron Axel Fredrik Cronstedt sedang cuba mengekstrak tembaga daripada kupfernikel dan sebaliknya menghasilkan logam putih.<br><br>Pada awal abad kedua puluh, Ludwig Mond mempatentkan proses menggunakan nikel karbonil untuk memurnikan nikel.
Copper	Copper occurs naturally as native copper and was known to some of the oldest civilizations on record.<br><br>Earliest estimates of the discovery of copper suggest around 9000 BC in the Middle East.<br><br>It was one of the most important materials to humans throughout the copper and bronze ages.	Tembaga berlaku secara semula jadi sebagai tembaga asal dan diketahui oleh beberapa tamadun tertua yang pernah tercatat.<br><br>Anggaran terawal penemuan tembaga mencadangkan sekitar 9000 SM di Timur Tengah.<br><br>Ia adalah salah satu bahan terpenting bagi manusia sepanjang zaman tembaga dan gangsa.
Zinc	Metallic zinc was produced in the 13th century A.D. India by reducing calamine with organic substances such as wool.<br><br>The metal was rediscovered in Europe by Andreas Sigismund Marggraf in 1746.<br><br>He heated a mixture of calamine ore and carbon in a closed vessel without copper to produce the metal.	Zink logam dihasilkan pada abad ke-13 Masihi di India dengan mereduksikan kalamanit dengan bahan organik seperti bulu domba.<br><br>Logam tersebut ditemui kembali di Eropah oleh Andreas Sigismund Marggraf pada tahun 1746.<br><br>Beliau memanaskan campuran bijih kalamanit dan karbon dalam bekas tertutup tanpa tembaga untuk menghasilkan logam.
Gallium	In 1871, existence of gallium was first predicted by Russian chemist Dmitri Mendeleev and called the element eka-aluminum.<br><br>Gallium was discovered spectroscopically by French chemist Paul Emile Lecoq de Boisbaudran in 1875 by its characteristic spectrum in an examination of a sphalerite sample.<br><br>Later that year, Lecoq obtained the free metal by electrolysis of its hydroxide in potassium hydroxide solution.	Pada tahun 1871, kewujudan galium pertama kali diramalkan oleh ahli kimia Rusia Dmitri Mendeleev dan menamakan unsur itu eka-aluminium.<br><br>Galium ditemui secara spektroskopi oleh ahli kimia Perancis Paul Emile Lecoq de Boisbaudran pada tahun 1875 melalui spektrum khasnya dalam pemeriksaan sampel sfalerit.<br><br>Kemudian tahun itu, Lecoq memperoleh logam bebas melalui elektrolisis hidroksidanya dalam larutan kalium hidroksida.
Germanium	In 1869, Dmitri Mendeleev predicted its existence and some of its properties based on its position on his periodic table and called the element eka-silicon.<br><br>In 1886, Clemens Winkler found the new element along with silver and sulfur, in a rare mineral called argyrodite.<br><br>The first silicon-germanium alloys were obtained in 1955.	Pada tahun 1869, Dmitri Mendeleev meramalkan kewujudannya dan beberapa sifatnya berdasarkan kedudukannya dalam jadual berkala dan menamakan unsur tersebut eka-silikon.<br><br>Pada tahun 1886, Clemens Winkler menemui unsur baru bersama perak dan sulfur dalam mineral langka yang disebut argyrodite.<br><br>Aloi silikon-germanium pertama diperoleh pada tahun 1955.
Arsenic	Greek historian Olympiodorus of Thebes roasted arsenic sulfide and obtained white arsenic during 5th century AD.<br><br>Albertus Magnus is believed to have been the first to isolate the element from a compound in 1250, by heating soap together with arsenic trisulfide.<br><br>In 1649, Johann Schröder published two ways of preparing arsenic.	Sejarawan Greek Olympiodorus dari Thebes memanggang sulfida arsenik dan mendapat arsenik putih pada abad ke-5 Masihi.<br><br>Albertus Magnus dipercayai telah menjadi orang pertama yang mengasingkan unsur daripada sebatian pada tahun 1250, dengan memanaskan sabun bersama arsenik trisulfida.<br><br>Pada tahun 1649, Johann Schröder menerbitkan dua cara menyediakan arsenik.
Selenium	Selenium was first observed in about the year 1300 by the alchemist Arnold of Villanova.<br><br>Selenium was discovered in 1817 by Jöns Jacob Berzelius and Johan Gottlieb Gahn who noted the similarity of the new element to the previously-known tellurium.<br><br>In 1873, Willoughby Smith found that the electrical resistance of grey selenium was dependent on the ambient light.	Selenium pertama kali diperhatikan sekitar tahun 1300 oleh ahli alkimia Arnold dari Villanova.<br><br>Selenium ditemui pada tahun 1817 oleh Jöns Jacob Berzelius dan Johan Gottlieb Gahn yang mencatat persamaan unsur baru tersebut dengan telurium yang telah diketahui sebelumnya.<br><br>Pada tahun 1873, Willoughby Smith mendapati bahawa rintangan elektrik selenium kelabu bergantung kepada cahaya sekitar.
Bromine	Carl Jacob Löwig discovered bromine in 1825, while still a chemistry student at Heidelberg University, Germany.<br><br>Antoine Balard distilled the bromine from a solution of seaweed ash saturated with chlorine in 1824.<br><br>He finally published his results in 1826, providing evidence that the substance he had discovered was a new element.	Carl Jacob Löwig menemui bromin pada tahun 1825, ketika masih menjadi pelajar kimia di Universiti Heidelberg, Jerman.<br><br>Antoine Balard menyuling bromin daripada larutan abu rumpai laut yang tepu dengan klorin pada tahun 1824.<br><br>Beliau akhirnya menerbitkan keputusannya pada tahun 1826, memberikan bukti bahawa bahan yang ditemuinya adalah unsur baru.
Krypton	Scottish chemist Sir William Ramsay and his assistant English chemist Morris Travers discovered krypton in 1898 in London.<br><br>They found krypton in the residue left from evaporating nearly all components of liquid air.<br><br>William Ramsay was awarded the 1904 Nobel Prize in Chemistry for discovery of a series of noble gases, including krypton.	Ahli kimia Scotland Sir William Ramsay dan pembantunya ahli kimia Inggeris Morris Travers menemui kripton pada tahun 1898 di London.<br><br>Mereka menemui kripton dalam sisa yang tinggal daripada penyejatan hampir semua komponen udara cecair.<br><br>William Ramsay dianugerahkan Hadiah Nobel Kimia 1904 untuk penemuan siri gas mulia, termasuk kripton.
Rubidium	German chemists Robert Bunsen and Gustav Kirchhoff discovered rubidium in 1861 by the newly developed method of flame spectroscopy.<br><br>The separation of the metal was tried by Bunsen, but he never got samples with more than 18% of Rubidium.<br><br>The separation of the metal was only accomplished by George de Hevesy, through the hydrolysis of melted rubidium hydroxide.	Ahli kimia Jerman Robert Bunsen dan Gustav Kirchhoff menemui rubidium pada tahun 1861 menggunakan kaedah spektroskopi nyalaan yang baru dibangunkan.<br><br>Pemisahan logam dicuba oleh Bunsen, tetapi beliau tidak pernah mendapat sampel dengan lebih daripada 18% Rubidium.<br><br>Pemisahan logam hanya dapat dicapai oleh George de Hevesy, melalui hidrolisis rubidium hidroksida lebur.
Strontium	Strontium was recognized as a new element in 1790 when Adair Crawford and his colleague William Cruickshank analyzed a mineral sample from a lead mine near Strontian, Scotland.<br><br>The element was eventually isolated by Sir Humphry Davy in 1808.<br><br>The isolation was done by the electrolysis of a mixture containing strontium chloride and mercuric oxide.	Strontium diiktiraf sebagai unsur baru pada tahun 1790 apabila Adair Crawford dan rakannya William Cruickshank menganalisis sampel mineral dari lombong plumbum berhampiran Strontian, Scotland.<br><br>Unsur ini akhirnya diasingkan oleh Sir Humphry Davy pada tahun 1808.<br><br>Pengasingan dilakukan melalui elektrolisis campuran yang mengandungi strontium klorida dan oksida merkuri.
Yttrium	In 1787, Carl Axel Arrhenius found a new mineral near Ytterby in Sweden and named it ytterbite, after the village.<br><br>Johan Gadolin discovered yttrium's oxide in Arrhenius' sample in 1789, and Anders Gustaf Ekeberg named the new oxide yttria.<br><br>Elemental yttrium was first isolated in 1828 by Friedrich Wöhler.	Pada tahun 1787, Carl Axel Arrhenius menemui mineral baru berhampiran Ytterby di Sweden dan menamakannya ytterbite, sempena nama kampung tersebut.<br><br>Johan Gadolin menemui oksida itrium dalam sampel Arrhenius pada tahun 1789, dan Anders Gustaf Ekeberg menamakan oksida baru itu yttria.<br><br>Itrium unsur pertama kali diasingkan pada tahun 1828 oleh Friedrich Wöhler.
Zirconium	Zirconium was first recognized as an element by Martin Heinrich Klaproth in 1789, in Berlin, in a sample of zircon from Sri Lanka.<br><br>Zirconium metal was first obtained in an impure form in 1824 by Jöns Jakob Berzelius by heating a mixture of potassium and potassium zirconium fluoride in an iron tube.<br><br>Dutch scientists Anton Eduard van Arkel and Jan Hendrik de Boer discovered a method for producing high purity zirconium in 1925.	Zirkonium pertama kali diiktiraf sebagai unsur oleh Martin Heinrich Klaproth pada tahun 1789, di Berlin, dalam sampel zirkon dari Sri Lanka.<br><br>Logam zirkonium pertama kali diperoleh dalam bentuk tidak tulen pada tahun 1824 oleh Jöns Jakob Berzelius dengan memanaskan campuran kalium dan kalium zirkonium fluorida dalam tiub besi.<br><br>Saintis Belanda Anton Eduard van Arkel dan Jan Hendrik de Boer menemui kaedah untuk menghasilkan zirkonium ketulenan tinggi pada tahun 1925.
